section,pair,total_ms,cache_compile_admission_ms,retain_ms,preflight_ms,handoff_ms,release_preparation_ms,other_ms
startup,1,-582.495927810669,-4.6835419999999885,-42.68187399999999,-575.380292,-20.38066599999999,19.314042,41.316404189331024
startup,2,-493.5288429260254,10.088875000000002,-45.550332,-564.93525,30.157624999999996,19.722082999999998,56.98815607397478
startup,3,-595.4720973968506,0.4886679999999899,-51.189042,-601.5384580000001,-39.834832999999975,21.723375,74.8781926031495
startup,4,-518.4638500213623,11.74199999999999,-50.574833000000005,-569.463666,20.965334000000013,20.681042,48.18627297863782
startup,5,-607.6622009277344,2.434375000000017,-45.04462600000001,-583.283917,-30.725332999999978,19.808166999999997,29.149133072265613
startup,6,-456.4859867095947,8.141831999999994,-49.467916,-567.076001,60.26816600000001,20.588082999999997,71.05984929040528
